"RelativePath","Layer","Extension","SizeBytes","LastWriteTime"
"loops\temp_melodic_1771313307017_3spymyqrt.wav","other",".wav","956709","25/02/2026 17:32:36"
"main.js","other",".js","577309","09/03/2026 10:29:56"
"manifest.json","other",".json","459","25/02/2026 17:32:36"
"melodic-loops-manager.html","other",".html","16445","25/02/2026 17:32:36"
"melodic-loops-manager.js","other",".js","18558","25/02/2026 17:32:36"
"migrate-chord-accidentals.js","data",".js","8103","09/03/2026 06:59:52"
"migrate-genres-to-moods.js","data",".js","8690","25/02/2026 17:32:36"
"migrate-moods.js","data",".js","8572","25/02/2026 17:32:36"
"migrate-smart-setlists-admin-flag.js","data",".js","3401","25/02/2026 17:32:36"
"migrate-song-ids.js","data",".js","4443","25/02/2026 17:32:36"
"migrate-users-isadmin-to-boolean.js","data",".js","2677","25/02/2026 17:32:36"
"MIGRATION_SONG_ID_FIX.md","data",".md","45023","25/02/2026 17:32:36"
"normalize-loop-data.js","other",".js","5677","09/03/2026 07:08:49"
"package-lock.json","config",".json","65875","28/02/2026 06:33:56"
"package.json","config",".json","823","25/02/2026 17:32:36"
"Procfile","other","","19","25/02/2026 17:30:25"
"README.md","other",".md","9467","09/03/2026 10:33:26"
"restore-main.ps1","other",".ps1","3209","25/02/2026 17:32:36"
"rhythm-sets-manager.html","other",".html","11557","09/03/2026 09:35:35"
"rhythm-sets-manager.js","other",".js","24803","09/03/2026 09:35:35"
"server.js","other",".js","124137","09/03/2026 10:29:56"
"service-worker.js","other",".js","171","25/02/2026 17:32:36"
"setup-auto-backup.ps1","other",".ps1","2980","25/02/2026 17:32:36"
"setup-git-hooks.js","other",".js","7809","25/02/2026 17:32:36"
"spinner.html","other",".html","449","25/02/2026 17:32:36"
"start-servers.bat","other",".bat","541","25/02/2026 17:32:36"
"static-server.js","other",".js","1569","25/02/2026 17:32:36"
"styles.css","other",".css","190648","25/02/2026 17:32:36"
"test-admin-endpoints.js","other",".js","8539","25/02/2026 17:32:36"
"test-admin-panel.html","other",".html","5496","25/02/2026 17:32:36"
"test-api.js","other",".js","413","25/02/2026 17:32:36"
"test-atmosphere-G-specific.js","other",".js","6409","09/03/2026 07:08:49"
"test-atmosphere-mobile.js","other",".js","9663","09/03/2026 07:08:49"
"test-jwt-validation.js","other",".js","4253","25/02/2026 17:32:36"
"test-login.js","other",".js","1241","25/02/2026 17:32:36"
"test-mood-recommendations.js","other",".js","2790","25/02/2026 17:32:36"
"test-setlist-creation.js","other",".js","1728","25/02/2026 17:32:36"
"test-song-structure.html","other",".html","3815","25/02/2026 17:32:36"
"test-songs.html","other",".html","1565","25/02/2026 17:32:36"
"test-transpose-priority.html","other",".html","7186","25/02/2026 17:32:36"
"update-genres.js","other",".js","15370","25/02/2026 17:32:36"
"update.js","other",".js","803","25/02/2026 17:32:36"
"utils\auth.js","other",".js","9466","25/02/2026 17:32:36"
"validate-admin-functionality.js","other",".js","9486","25/02/2026 17:32:36"
"validate-song-ids.js","other",".js","7665","25/02/2026 17:32:36"
"vercel.json","deployment",".json","696","09/03/2026 07:08:49"
"verify-database.js","other",".js","6185","25/02/2026 17:32:36"
"verify-genres-moods.js","other",".js","4060","25/02/2026 17:32:36"
"verify-isadmin-boolean.js","other",".js","5009","25/02/2026 17:32:36"
"verify-migration.js","data",".js","2384","25/02/2026 17:32:36"
